Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-07-01T14:47:52,2021-07-01T14:57:57,71,Hietaniemenkatu,21,Töölönlahdenkatu,2209.0,601
2021-07-01T14:47:41,2021-07-01T16:34:14,308,Mosaiikkitori,317,Haapasaarentie,1540.0,366
2021-07-01T14:47:40,2021-07-01T14:56:27,727,Ratsutori,747,Leppävaaran uimahalli,1467.0,526
2021-07-01T14:47:38,2021-07-01T15:14:39,22,Rautatientori / länsi,245,Kulosaari (M),5682.0,1617
2021-07-01T14:47:36,2021-07-01T14:58:31,53,Heikkiläntie,30,Itämerentori,2007.0,650
2021-07-01T14:47:35,2021-07-01T14:50:02,519,Tapionaukio,525,Mäntyviita,517.0,146
2021-07-01T14:47:34,2021-07-01T15:01:31,88,Kiskontie,88,Kiskontie,0.0,5
2021-07-01T14:47:34,2021-07-01T14:54:08,24,Mannerheimintie,35,Cygnaeuksenkatu,880.0,390
2021-07-01T14:47:32,2021-07-01T14:56:59,727,Ratsutori,747,Leppävaaran uimahalli,1455.0,562
2021-07-01T14:47:32,2021-07-01T14:56:23,224,Vesakkotie,147,Käpylän asema,1709.0,527
2021-07-01T14:47:28,2021-07-01T15:09:09,30,Itämerentori,401,Koivusaari (M),3748.0,1300
2021-07-01T14:47:26,2021-07-01T15:04:31,239,Viikin tiedepuisto,263,Herttoniemen kirkko,4318.0,1024
2021-07-01T14:47:18,2021-07-01T14:59:10,10,Kasarmitori,66,Ehrenströmintie,1770.0,708
2021-07-01T14:47:11,2021-07-01T14:58:45,71,Hietaniemenkatu,71,Hietaniemenkatu,95.0,689
2021-07-01T14:47:11,2021-07-01T14:51:57,402,Bermudankuja,64,Tyynenmerenkatu,890.0,281
2021-07-01T14:47:06,2021-07-01T14:54:08,12,Kanavaranta,40,Hakaniemi (M),1633.0,418
2021-07-01T14:47:05,2021-07-01T16:31:45,21,Töölönlahdenkatu,76,Olympiastadion,1906.0,459
2021-07-01T14:47:03,2021-07-01T14:53:21,22,Rautatientori / länsi,49,Annankatu,1017.0,385
2021-07-01T14:46:51,2021-07-01T15:00:29,619,Etuniementie,625,Suomenlahdentie,2056.0,814
2021-07-01T14:46:45,2021-07-01T14:54:26,21,Töölönlahdenkatu,8,Vanha kirkkopuisto,61.0,457
2021-07-01T14:46:36,2021-07-01T15:05:07,41,Ympyrätalo,11,Unioninkatu,2250.0,1109
2021-07-01T14:46:35,2021-07-01T15:00:16,6,Hietalahdentori,66,Ehrenströmintie,2707.0,816
2021-07-01T14:46:34,2021-07-01T14:48:40,391,Tollinpolku,393,Malminkartanon asema,336.0,121
2021-07-01T14:46:34,2021-07-01T14:59:03,44,Sörnäinen (M),77,Nordenskiöldinaukio,2840.0,744
2021-07-01T14:46:30,2021-07-01T14:53:35,26,Kamppi (M),6,Hietalahdentori,950.0,423
2021-07-01T14:46:29,2021-07-01T15:18:11,249,Isosaarentie,123,Näkinsilta,7524.0,1897
2021-07-01T14:46:29,2021-07-01T15:02:44,123,Näkinsilta,11,Unioninkatu,2538.0,971
2021-07-01T14:46:26,2021-07-01T14:53:47,621,Hauenkalliontie,591,Mellstenintie,1484.0,438
2021-07-01T14:46:25,2021-07-01T14:58:31,41,Ympyrätalo,161,Eteläesplanadi,1933.0,720
2021-07-01T14:46:24,2021-07-01T15:11:05,16,Liisanpuistikko,138,Arabiankatu,5149.0,1477
2021-07-01T14:46:23,2021-07-01T14:57:29,217,Marttila,98,Ulvilantie,3228.0,665
2021-07-01T14:46:22,2021-07-01T15:13:38,41,Ympyrätalo,63,Jätkäsaarenlaituri,4275.0,1631
2021-07-01T14:46:19,2021-07-01T14:52:01,5,Sepänkatu,6,Hietalahdentori,694.0,302
2021-07-01T14:46:18,2021-07-01T14:58:18,44,Sörnäinen (M),77,Nordenskiöldinaukio,2791.0,714
2021-07-01T14:46:16,2021-07-01T15:07:19,711,Kirjurinkuja,731,Leppävaarankäytävä,1635.0,1258
2021-07-01T14:46:13,2021-07-01T15:02:45,123,Näkinsilta,11,Unioninkatu,2483.0,987
2021-07-01T14:46:12,2021-07-01T15:04:07,41,Ympyrätalo,11,Unioninkatu,2164.0,1071
2021-07-01T14:46:10,2021-07-01T14:52:56,140,Verkatehtaanpuisto,137,Arabian kauppakeskus,1429.0,402
2021-07-01T14:46:09,2021-07-01T14:53:06,113,Pasilan asema,80,Jäähalli,1366.0,412
2021-07-01T14:46:05,2021-07-01T14:48:34,391,Tollinpolku,393,Malminkartanon asema,336.0,145
2021-07-01T14:46:00,2021-07-01T15:00:19,53,Heikkiläntie,28,Lastenlehto,2677.0,852
2021-07-01T14:45:59,2021-07-01T15:02:39,204,A.I. Virtasen aukio,150,Töölönlahden puisto,4610.0,995
2021-07-01T14:45:55,2021-07-01T14:52:00,234,Otto Brandtin tie,232,Oulunkylän asema,1045.0,361
2021-07-01T14:45:49,2021-07-01T15:05:25,121,Vilhonvuorenkatu,1,Kaivopuisto,4233.0,1172
2021-07-01T14:45:43,2021-07-01T17:54:40,30,Itämerentori,30,Itämerentori,6164.0,11332
2021-07-01T14:45:37,2021-07-01T14:54:08,402,Bermudankuja,62,Välimerenkatu,701.0,510
2021-07-01T14:45:37,2021-07-01T14:54:54,587,Hauenkallio,625,Suomenlahdentie,1628.0,556
2021-07-01T14:45:33,2021-07-01T14:50:59,24,Mannerheimintie,36,Apollonkatu,1266.0,321
2021-07-01T14:45:32,2021-07-01T14:50:48,547,Jämeräntaival,541,"Aalto-yliopisto (M), Korkeakouluaukio",1145.0,311
2021-07-01T14:45:32,2021-07-01T14:56:43,208,Valimotie,220,Ida Aalbergin tie,2415.0,666
