Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-06-02T11:25:16,2021-06-02T11:53:42,239,Viikin tiedepuisto,239,Viikin tiedepuisto,1012.0,1702
2021-06-02T11:25:14,2021-06-02T11:47:53,246,Tupasaarentie,82,Töölöntulli,6765.0,1356
2021-06-02T11:25:10,2021-06-02T11:31:08,306,Kauppakeskus Columbus,301,Aurinkotuulenkatu,1131.0,353
2021-06-02T11:25:09,2021-06-02T11:36:58,81,Stenbäckinkatu,81,Stenbäckinkatu,163.0,705
2021-06-02T11:25:09,2021-06-02T11:28:56,358,Syystie,360,Malmin asema,1159.0,188
2021-06-02T11:25:08,2021-06-02T11:28:19,547,Jämeräntaival,541,"Aalto-yliopisto (M), Korkeakouluaukio",684.0,186
2021-06-02T11:25:06,2021-06-02T11:34:32,338,Jakomäentie,330,Kontula (M),2712.0,564
2021-06-02T11:25:06,2021-06-02T11:41:08,80,Jäähalli,30,Itämerentori,3236.0,958
2021-06-02T11:25:04,2021-06-02T11:35:28,41,Ympyrätalo,12,Kanavaranta,2135.0,620
2021-06-02T11:24:59,2021-06-02T11:44:52,543,Otaranta,91,Seurasaari,4490.0,1188
2021-06-02T11:24:57,2021-06-02T11:41:04,2,Laivasillankatu,65,Hernesaarenranta,2795.0,961
2021-06-02T11:24:46,2021-06-02T11:31:39,40,Hakaniemi (M),18,Porthania,1072.0,327
2021-06-02T11:24:36,2021-06-02T11:29:17,727,Ratsutori,713,Upseerinkatu,635.0,276
2021-06-02T11:24:30,2021-06-02T11:29:08,521,Kulttuuriaukio,517,Länsituuli,401.0,277
2021-06-02T11:24:18,2021-06-02T13:13:19,12,Kanavaranta,9,Erottajan aukio,874.0,277
2021-06-02T11:24:16,2021-06-02T11:38:51,118,Fleminginkatu,82,Töölöntulli,2527.0,872
2021-06-02T11:24:08,2021-06-02T11:30:49,517,Länsituuli,557,Louhentori,1499.0,400
2021-06-02T11:24:01,2021-06-02T11:28:07,83,Meilahden sairaala,75,Korjaamo,1031.0,245
2021-06-02T11:24:00,2021-06-02T11:30:47,517,Länsituuli,557,Louhentori,1474.0,406
2021-06-02T11:23:57,2021-06-02T11:42:16,304,Aurinkolahdenaukio,276,Puotinharju,4793.0,1098
2021-06-02T11:23:55,2021-06-02T11:34:42,36,Apollonkatu,63,Jätkäsaarenlaituri,1641.0,643
2021-06-02T11:23:54,2021-06-02T11:53:32,232,Oulunkylän asema,150,Töölönlahden puisto,8120.0,1776
2021-06-02T11:23:53,2021-06-02T11:34:42,163,Lehtisaarentie,93,Torpanranta,2305.0,645
2021-06-02T11:23:50,2021-06-02T11:30:11,79,Uimastadion,114,Ratapihantie,1035.0,377
2021-06-02T11:23:42,2021-06-02T11:24:10,41,Ympyrätalo,41,Ympyrätalo,0.0,23
2021-06-02T11:23:41,2021-06-02T11:28:43,27,Eerikinkatu,49,Annankatu,553.0,298
2021-06-02T11:23:39,2021-06-02T11:44:52,4,Viiskulma,45,Brahen kenttä,3724.0,1268
2021-06-02T11:23:28,2021-06-02T11:29:32,37,Töölönkatu,22,Rautatientori / länsi,1278.0,362
2021-06-02T11:23:28,2021-06-02T11:32:00,235,Katariina Saksilaisen katu,138,Arabiankatu,1646.0,512
2021-06-02T11:23:25,2021-06-02T11:28:41,12,Kanavaranta,20,Kaisaniemenpuisto,1249.0,312
2021-06-02T11:23:24,2021-06-02T11:45:57,15,Ritarikatu,131,Elimäenkatu,4425.0,1349
2021-06-02T11:23:22,2021-06-02T11:37:17,23,Kiasma,61,Länsisatamankatu,2544.0,832
2021-06-02T11:23:18,2021-06-02T11:32:27,17,Varsapuistikko,33,Kauppakorkeakoulu,1678.0,544
2021-06-02T11:23:02,2021-06-02T11:32:30,259,Petter Wetterin tie,253,Tammisalon aukio,2128.0,567
2021-06-02T11:22:56,2021-06-02T11:23:04,402,Bermudankuja,402,Bermudankuja,0.0,7
2021-06-02T11:22:41,2021-06-02T11:37:38,321,Vartioharjuntie,281,Puotila (M),1537.0,892
2021-06-02T11:22:32,2021-06-02T11:27:05,66,Ehrenströmintie,1,Kaivopuisto,626.0,272
2021-06-02T11:22:31,2021-06-02T11:49:07,89,Tilkanvierto,21,Töölönlahdenkatu,3959.0,1592
2021-06-02T11:22:31,2021-06-02T11:28:22,31,Marian sairaala,72,Eteläinen Hesperiankatu,1266.0,347
2021-06-02T11:22:30,2021-06-02T11:40:20,150,Töölönlahden puisto,130,Teollisuuskatu,3138.0,1067
2021-06-02T11:22:30,2021-06-02T11:29:17,110,Maistraatintori,105,Tilkantori,2174.0,404
2021-06-02T11:22:12,2021-06-02T11:22:29,304,Aurinkolahdenaukio,304,Aurinkolahdenaukio,0.0,15
2021-06-02T11:22:06,2021-06-02T11:35:25,81,Stenbäckinkatu,80,Jäähalli,1033.0,795
2021-06-02T11:22:02,2021-06-02T11:25:42,627,Piispansilta,641,Komeetankatu,551.0,215
2021-06-02T11:22:00,2021-06-02T11:37:41,651,Suurpellonaukio,641,Komeetankatu,2719.0,938
2021-06-02T11:21:48,2021-06-02T11:29:08,402,Bermudankuja,6,Hietalahdentori,447.0,435
2021-06-02T11:21:45,2021-06-02T11:38:14,63,Jätkäsaarenlaituri,143,Kuikkarinne,3887.0,985
2021-06-02T11:21:44,2021-06-02T11:29:36,13,Merisotilaantori,12,Kanavaranta,1133.0,467
2021-06-02T11:21:39,2021-06-02T11:41:50,38,Töölöntori,125,Arielinkatu,3967.0,1207
2021-06-02T11:21:35,2021-06-02T11:27:22,12,Kanavaranta,11,Unioninkatu,461.0,342
2021-06-02T11:21:27,2021-06-02T11:37:48,227,Kylävoudintie,237,Aulangontie,3495.0,976
2021-06-02T11:21:21,2021-06-02T11:37:02,126,Kalasatama (M),111,Esterinportti,3109.0,938
2021-06-02T11:21:14,2021-06-02T11:24:18,6,Hietalahdentori,69,Kalevankatu,520.0,179
